close,color,current_close,high,low,open,prev_close,symbol,timestamp,volume
116958.98,red,116958.98,116973.68,116958.97,116973.68,116973.68,BTCUSDT,2025-09-19 11:15:45,2.9557
116958.98,red,116958.98,116973.68,116958.97,116973.68,116973.68,BTCUSDT,2025-09-19 11:15:46,3.02645
116958.98,red,116958.98,116973.68,116958.97,116973.68,116973.68,BTCUSDT,2025-09-19 11:15:48,3.05759
116958.97,red,116958.97,116973.68,116958.97,116973.68,116973.68,BTCUSDT,2025-09-19 11:15:49,3.06264
116958.97,red,116958.97,116973.68,116958.97,116973.68,116973.68,BTCUSDT,2025-09-19 11:15:50,3.07167
116958.97,red,116958.97,116973.68,116958.97,116973.68,116973.68,BTCUSDT,2025-09-19 11:15:51,3.07167
116958.98,red,116958.98,116973.68,116958.97,116973.68,116973.68,BTCUSDT,2025-09-19 11:15:53,3.12848
116958.97,red,116958.97,116973.68,116958.97,116973.68,116973.68,BTCUSDT,2025-09-19 11:15:54,3.12914
116958.98,red,116958.98,116973.68,116958.97,116973.68,116973.68,BTCUSDT,2025-09-19 11:15:55,3.13095
116958.98,red,116958.98,116973.68,116958.97,116973.68,116973.68,BTCUSDT,2025-09-19 11:15:56,3.13988
116958.98,red,116958.98,116973.68,116958.97,116973.68,116973.68,BTCUSDT,2025-09-19 11:15:58,3.14202
116958.97,red,116958.97,116973.68,116958.97,116973.68,116973.68,BTCUSDT,2025-09-19 11:15:59,3.1442
116958.97,red,116958.97,116958.97,116958.97,116958.97,116958.97,BTCUSDT,2025-09-19 11:16:00,0.0
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:02,0.04939
116958.98,green,116958.98,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:03,0.05054
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:04,0.0637
116958.98,green,116958.98,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:06,0.11495
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:07,0.11731
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:08,0.11793
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:10,0.13793
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:11,0.27704
116958.98,green,116958.98,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:12,0.27897
116958.98,green,116958.98,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:14,0.27921
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:15,0.2891
116958.98,green,116958.98,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:16,0.29087
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:17,0.35905
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:19,0.36111
116958.98,green,116958.98,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:20,0.36156
116958.98,green,116958.98,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:21,0.43117
116958.98,green,116958.98,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:22,0.47435
116958.98,green,116958.98,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:24,0.47659
116958.98,green,116958.98,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:25,0.48426
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:26,0.4857
116958.97,red,116958.97,116958.98,116958.97,116958.98,116958.97,BTCUSDT,2025-09-19 11:16:28,0.48665
